               t         prod_1         prod_2         prod_3         prod_4
5256  421.027344  288394.343750  288384.562500  288385.593750  288384.062500
5257  421.107452  288449.156250  288439.406250  288440.562500  288439.000000
5258  421.187531  288504.031250  288494.343750  288495.437500  288493.812500
5259  421.267639  288558.968750  288549.125000  288550.343750  288548.718750
5260  421.347748  288613.812500  288604.000000  288605.218750  288603.593750
5261  421.427856  288668.687500  288658.843750  288660.031250  288658.531250
5262  421.507965  288723.500000  288713.687500  288714.906250  288713.531250
5263  421.588074  288778.375000  288768.562500  288769.750000  288768.343750
5264  421.668152  288833.218750  288823.375000  288824.625000  288823.156250
5265  421.748260  288888.062500  288878.281250  288879.468750  288878.093750
5266  421.828369  288942.968750  288933.156250  288934.250000  288932.968750
5267  421.908478  288997.781250  288987.968750  288989.093750  288987.906250
5268  421.988586  289052.562500  289042.812500  289044.000000  289042.812500
5269  422.068695  289107.468750  289097.656250  289098.906250  289097.625000
5270  422.148804  289162.343750  289152.625000  289153.781250  289152.500000
5271  422.228882  289217.187500  289207.500000  289208.687500  289207.312500
5272  422.308990  289272.062500  289262.375000  289263.500000  289262.187500
5273  422.389099  289326.937500  289317.218750  289318.312500  289317.000000
5274  422.469208  289381.781250  289372.062500  289373.187500  289371.843750
5275  422.549316  289436.750000  289426.906250  289428.062500  289426.687500
5276  422.629425  289491.593750  289481.781250  289482.906250  289481.500000
5277  422.709534  289546.437500  289536.593750  289537.750000  289536.250000
5278  422.789612  289601.343750  289591.437500  289592.625000  289591.093750
5279  422.869720  289656.187500  289646.218750  289647.500000  289645.906250
5280  422.949829  289711.062500  289701.125000  289702.375000  289700.750000
5281  423.029938  289765.875000  289755.968750  289757.218750  289755.625000
5282  423.110046  289820.750000  289810.781250  289812.062500  289810.500000
5283  423.190155  289875.593750  289865.656250  289866.875000  289865.281250
5284  423.270264  289930.437500  289920.500000  289921.781250  289920.156250
5285  423.350342  289985.281250  289975.406250  289976.656250  289974.937500
5286  423.430450  290040.125000  290030.187500  290031.531250  290029.843750
5287  423.510559  290094.937500  290085.000000  290086.406250  290084.781250
5288  423.590668  290149.812500  290139.875000  290141.281250  290139.625000
5289  423.670776  290204.687500  290194.718750  290196.156250  290194.437500
5290  423.750885  290259.531250  290249.531250  290250.968750  290249.250000
5291  423.830963  290314.406250  290304.406250  290305.781250  290304.062500
5292  423.911072  290369.281250  290359.250000  290360.656250  290358.937500
5293  423.991180  290424.156250  290414.093750  290415.625000  290413.812500
5294  424.071289  290478.968750  290468.937500  290470.500000  290468.625000
5295  424.151398  290533.843750  290523.718750  290525.343750  290523.437500
5296  424.231506  290588.718750  290578.625000  290580.218750  290578.312500
5297  424.311615  290643.593750  290633.468750  290635.062500  290633.156250
5298  424.391693  290698.468750  290688.375000  290689.906250  290688.031250
5299  424.471802  290753.281250  290743.250000  290744.687500  290743.031250
5300  424.551910  290808.093750  290798.156250  290799.500000  290797.906250
5301  424.632019  290862.906250  290853.093750  290854.343750  290852.812500
5302  424.712128  290917.750000  290907.937500  290909.156250  290907.656250
5303  424.792236  290972.593750  290962.812500  290964.031250  290962.468750
5304  424.872345  291027.437500  291017.687500  291018.937500  291017.343750
5305  424.952423  291082.312500  291072.593750  291073.843750  291072.218750
5306  425.032532  291137.156250  291127.437500  291128.656250  291127.000000
5307  425.112640  291192.031250  291182.281250  291183.500000  291181.781250
5308  425.192749  291246.968750  291237.125000  291238.375000  291236.656250
5309  425.272858  291301.812500  291292.000000  291293.156250  291291.500000
5310  425.352966  291356.656250  291346.875000  291348.031250  291346.406250
5311  425.433075  291411.500000  291401.750000  291402.906250  291401.281250
5312  425.513153  291466.375000  291456.593750  291457.718750  291456.125000
5313  425.593262  291521.156250  291511.500000  291512.531250  291511.031250
