          x      Sw_1         p_1      Sw_2         p_2      Sw_3         p_3      Sw_4         p_4           C_1           C_2           C_3           C_4
133   665.0  0.251000  193.735519  0.549926  269.622284  0.720477  588.232056  0.723953  564.098511  0.000000e+00  7.833299e+01  2.240789e+02  6.050004e-04
134   670.0  0.251000  193.009933  0.542532  267.500854  0.720082  585.352905  0.723852  563.646912  0.000000e+00  6.753589e+01  2.411975e+02  8.970220e-04
135   675.0  0.251000  192.284332  0.535238  265.485809  0.719674  582.275146  0.723826  563.195251  0.000000e+00  5.777057e+01  2.583352e+02  1.320494e-03
136   680.0  0.251000  191.558731  0.528129  263.567932  0.719248  578.998779  0.723847  562.743530  0.000000e+00  4.902149e+01  2.753642e+02  1.930144e-03
137   685.0  0.251000  190.833130  0.521292  261.737976  0.718807  575.525085  0.723754  562.291748  0.000000e+00  4.125857e+01  2.921594e+02  2.801280e-03
138   690.0  0.251000  190.107513  0.514812  259.986786  0.718331  571.830139  0.723810  561.839966  0.000000e+00  3.443864e+01  3.086010e+02  4.037313e-03
139   695.0  0.251000  189.381912  0.508765  258.305420  0.717697  567.869568  0.723761  561.388123  0.000000e+00  2.850733e+01  3.245792e+02  5.778476e-03
140   700.0  0.251000  188.656311  0.503212  256.685303  0.716990  563.627747  0.723710  560.936157  0.000000e+00  2.340134e+01  3.399932e+02  8.213435e-03
141   705.0  0.251000  187.930710  0.498197  255.118347  0.716250  559.113586  0.723774  560.484192  0.000000e+00  1.905077e+01  3.547512e+02  1.159558e-02
142   710.0  0.251000  187.205109  0.493741  253.597000  0.715478  554.337708  0.723764  560.032288  0.000000e+00  1.538172e+01  3.687742e+02  1.625982e-02
143   715.0  0.251000  186.479507  0.489849  252.114319  0.714675  549.311951  0.723659  559.580261  0.000000e+00  1.231873e+01  3.819949e+02  2.264613e-02
144   720.0  0.251000  185.753906  0.486503  250.664078  0.713844  544.049438  0.723563  559.127991  0.000000e+00  9.787134e+00  3.943604e+02  3.132996e-02
145   725.0  0.251000  185.028305  0.483673  249.240738  0.712984  538.563965  0.723654  558.675720  0.000000e+00  7.715113e+00  4.058301e+02  4.305992e-02
146   730.0  0.251000  184.302689  0.481312  247.839478  0.712094  532.870117  0.723547  558.223267  0.000000e+00  6.035288e+00  4.163759e+02  5.879122e-02
147   735.0  0.251000  183.577087  0.479371  246.456146  0.711176  526.982849  0.723594  557.770630  0.000000e+00  4.685931e+00  4.259810e+02  7.975176e-02
148   740.0  0.251000  182.851486  0.477795  245.087219  0.710228  520.917480  0.723649  557.317871  0.000000e+00  3.611656e+00  4.346399e+02  1.074910e-01
149   745.0  0.251000  182.125885  0.476532  243.729767  0.709252  514.689270  0.723583  556.864746  0.000000e+00  2.763733e+00  4.423546e+02  1.439492e-01
150   750.0  0.251000  181.400284  0.475530  242.381378  0.708247  508.313568  0.723480  556.411072  0.000000e+00  2.100028e+00  4.491359e+02  1.915445e-01
151   755.0  0.251000  180.674683  0.474743  241.040054  0.707213  501.805603  0.723411  555.956726  0.000000e+00  1.584702e+00  4.549994e+02  2.532725e-01
152   760.0  0.251000  179.949081  0.474131  239.704224  0.706145  495.180237  0.723478  555.501709  0.000000e+00  1.187715e+00  4.599646e+02  3.328172e-01
153   765.0  0.251000  179.223480  0.473658  238.372620  0.705046  488.452179  0.723360  555.045837  0.000000e+00  8.842191e-01  4.640544e+02  4.346236e-01
154   770.0  0.251000  178.497879  0.473298  237.044174  0.703911  481.635651  0.723305  554.588684  0.000000e+00  6.539235e-01  4.672919e+02  5.640846e-01
155   775.0  0.251000  177.772278  0.473023  235.718170  0.702737  474.744568  0.723350  554.130249  0.000000e+00  4.804460e-01  4.697002e+02  7.276795e-01
156   780.0  0.251000  177.046677  0.472816  234.393967  0.701522  467.792572  0.723374  553.670105  0.000000e+00  3.507034e-01  4.713006e+02  9.330796e-01
157   785.0  0.251000  176.321075  0.472662  233.071121  0.700263  460.792877  0.723285  553.207825  0.000000e+00  2.543528e-01  4.721130e+02  1.189277e+00
158   790.0  0.251000  175.595459  0.472546  231.749268  0.698954  453.758514  0.723197  552.742737  0.000000e+00  1.832964e-01  4.721535e+02  1.506811e+00
159   795.0  0.251000  174.869858  0.472460  230.428131  0.697590  446.702240  0.723217  552.274292  0.000000e+00  1.312534e-01  4.714357e+02  1.897954e+00
160   800.0  0.251000  174.144257  0.472394  229.107559  0.696165  439.636536  0.723157  551.801880  0.000000e+00  9.339461e-02  4.699688e+02  2.376688e+00
161   805.0  0.251000  173.418655  0.472345  227.787384  0.694675  432.573883  0.723151  551.324524  0.000000e+00  6.603934e-02  4.677603e+02  2.959049e+00
162   810.0  0.251000  172.693039  0.472309  226.467453  0.693111  425.526794  0.723050  550.841125  0.000000e+00  4.640523e-02  4.648133e+02  3.662988e+00
163   815.0  0.251000  171.967438  0.472279  225.147736  0.691467  418.507507  0.723035  550.350525  0.000000e+00  3.240607e-02  4.611297e+02  4.508727e+00
164   820.0  0.251000  171.241837  0.472257  223.828110  0.689733  411.528442  0.723012  549.851440  0.000000e+00  2.249019e-02  4.567093e+02  5.518661e+00
165   825.0  0.251000  170.516235  0.472239  222.508606  0.687900  404.602020  0.722955  549.342163  0.000000e+00  1.551238e-02  4.515516e+02  6.717274e+00
166   830.0  0.251000  169.790619  0.472225  221.189148  0.685959  397.740753  0.722893  548.820862  0.000000e+00  1.063391e-02  4.456557e+02  8.131245e+00
167   835.0  0.251000  169.065018  0.472213  219.869705  0.683898  390.957306  0.722922  548.285522  0.000000e+00  7.245144e-03  4.390218e+02  9.789445e+00
168   840.0  0.251000  168.339417  0.472202  218.550323  0.681707  384.264343  0.722874  547.733887  0.000000e+00  4.906261e-03  4.316521e+02  1.172234e+01
169   845.0  0.251000  167.613815  0.472193  217.230957  0.679372  377.674561  0.722818  547.163208  0.000000e+00  3.302284e-03  4.235524e+02  1.396196e+01
170   850.0  0.251000  166.888199  0.472184  215.911591  0.676879  371.200684  0.722754  546.570435  0.000000e+00  2.209263e-03  4.147311e+02  1.654172e+01
171   855.0  0.251000  166.162598  0.472176  214.592178  0.674211  364.855438  0.722681  545.952393  0.000000e+00  1.469128e-03  4.052019e+02  1.949597e+01
172   860.0  0.251000  165.436996  0.472169  213.272766  0.671351  358.651337  0.722596  545.305542  0.000000e+00  9.710921e-04  3.949835e+02  2.285917e+01
173   865.0  0.251000  164.711395  0.472161  211.953354  0.668281  352.600739  0.722507  544.625854  0.000000e+00  6.380569e-04  3.840997e+02  2.666584e+01
174   870.0  0.251000  163.985779  0.472155  210.633911  0.664976  346.715759  0.722460  543.909180  0.000000e+00  4.167406e-04  3.725807e+02  3.094975e+01
