          x     Sw_1         p_1      Sw_2         p_2      Sw_3         p_3      Sw_4         p_4            C_1            C_2           C_3            C_4 
164   820.0  0.471286  186.049373  0.687801  412.652731  0.724930  631.377383  0.724982  547.258076   4.197568e-11   4.600921e+02  2.616982e-01   1.680685e-15
165   825.0  0.471270  184.728345  0.686137  405.628688  0.724912  630.925625  0.724964  546.809129   2.083542e-11   4.542299e+02  3.400848e-01   3.085534e-15
166   830.0  0.471254  183.407270  0.684351  398.685110  0.724893  630.473030  0.724946  546.360149   1.025966e-11   4.477617e+02  4.394358e-01   5.631333e-15
167   835.0  0.471238  182.086146  0.682434  391.832136  0.724875  630.019387  0.724928  545.911136   5.011142e-12   4.406663e+02  5.646048e-01   1.021748e-14
168   840.0  0.471222  180.764974  0.680373  385.080342  0.724856  629.564437  0.724910  545.462089   2.427454e-12   4.329275e+02  7.213636e-01   1.843075e-14
169   845.0  0.471205  179.443753  0.678157  378.440670  0.724837  629.107864  0.724893  545.013010   1.166007e-12   4.245345e+02  9.165238e-01   3.305397e-14
170   850.0  0.471188  178.122482  0.675772  371.924342  0.724817  628.649285  0.724876  544.563899   5.552614e-13   4.154827e+02  1.158064e+00   5.893862e-14
171   855.0  0.471171  176.801160  0.673203  365.542776  0.724798  628.188239  0.724859  544.114755   2.620792e-13   4.057740e+02  1.455260e+00   1.044928e-13
172   860.0  0.471154  175.479788  0.670434  359.307481  0.724777  627.724173  0.724842  543.665579   1.225678e-13   3.954172e+02  1.818808e+00   1.842033e-13
173   865.0  0.471136  174.158363  0.667445  353.229954  0.724756  627.256435  0.724825  543.216372   5.677686e-14   3.844283e+02  2.260952e+00   3.228840e-13
174   870.0  0.471118  172.836885  0.664216  347.321575  0.724734  626.784249  0.724808  542.767133   2.603900e-14   3.728306e+02  2.795592e+00   5.627923e-13
